City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Unsourced fields,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,The Black Firm LLC,Lawrenceville,legal-financial,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Black%20Firm%20LLC%20Lawrenceville,Keep,
Atlanta,The Blaxican,Peachtree Corners,food-dining,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Blaxican%20Peachtree%20Corners,Keep,
Atlanta,The Breakfast Boys,College Park,food-dining,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Breakfast%20Boys%20College%20Park,Keep,
Atlanta,The Construction Kings,Atlanta,construction-trades,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=The%20Construction%20Kings%20Atlanta,Keep,
Atlanta,The Corner Grille,Atlanta,food-dining,NO,yes,,,no-website,https://www.google.com/maps/search/?api=1&query=The%20Corner%20Grille%20Atlanta,Keep,
Atlanta,The Real Milk & Honey,College Park,food-dining,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Real%20Milk%20%26%20Honey%20College%20Park,Keep,
Atlanta,The Wellness Spot ATL,College Park,wellness-health,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Wellness%20Spot%20ATL%20College%20Park,Keep,
Atlanta,True Peace Counseling & Wellness,Atlanta,healthcare,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=True%20Peace%20Counseling%20%26%20Wellness%20Atlanta,Keep,
Atlanta,Vertical Activewear,Atlanta,fashion-apparel,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Vertical%20Activewear%20Atlanta,Keep,
Atlanta,Zyrobotics,Atlanta,technology,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Zyrobotics%20Atlanta,Keep,
Atlanta,"100 Black Men of Atlanta, Inc.",Atlanta,nonprofits-community-orgs,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=100%20Black%20Men%20of%20Atlanta%2C%20Inc.%20Atlanta,Keep,
Atlanta,44th & 3rd Bookseller,Atlanta,books-publishing,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=44th%20%26%203rd%20Bookseller%20Atlanta,Keep,
Atlanta,African Diaspora Art Museum of Atlanta,Atlanta,arts-culture,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=African%20Diaspora%20Art%20Museum%20of%20Atlanta%20Atlanta,Keep,
Atlanta,Aligned 4 Life Wellness,Atlanta,healthcare,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Aligned%204%20Life%20Wellness%20Atlanta,Keep,
Atlanta,APEX Museum,Atlanta,arts-culture,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=APEX%20Museum%20Atlanta,Keep,
Atlanta,Apt 4B,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Apt%204B%20Atlanta,Keep,
Atlanta,Atlanta Breakfast Club,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Atlanta%20Breakfast%20Club%20Atlanta,Keep,
Atlanta,Atlanta Chiropractic and Rehab,Atlanta,healthcare,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Atlanta%20Chiropractic%20and%20Rehab%20Atlanta,Keep,
Atlanta,Atlanta Influences Everything,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Atlanta%20Influences%20Everything%20Atlanta,Keep,
Atlanta,Big Dave's Cheesesteaks,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Big%20Dave's%20Cheesesteaks%20Atlanta,Keep,
Atlanta,Black Coffee ATL,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Black%20Coffee%20ATL%20Atlanta,Keep,
Atlanta,BRANDPRENUER,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=BRANDPRENUER%20Atlanta,Keep,
Atlanta,Busy Bee Cafe,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Busy%20Bee%20Cafe%20Atlanta,Keep,
Atlanta,Cafe Bourbon Street,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Bourbon%20Street%20Atlanta,Keep,
Atlanta,Celestial Spa,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Celestial%20Spa%20Atlanta,Keep,
Atlanta,Change-Of-Pace Chiropractic+,Atlanta,healthcare,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Change-Of-Pace%20Chiropractic%2B%20Atlanta,Keep,
Atlanta,Che Butter Jonez,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Che%20Butter%20Jonez%20Atlanta,Keep,
Atlanta,Chef Rob's Caribbean Cafe,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Chef%20Rob's%20Caribbean%20Cafe%20Atlanta,Keep,
Atlanta,ChiroJunky,Atlanta,healthcare,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=ChiroJunky%20Atlanta,Keep,
Atlanta,Chroma Creators,Atlanta,creative-media,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Chroma%20Creators%20Atlanta,Keep,
Atlanta,Coffee Was Black,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Coffee%20Was%20Black%20Atlanta,Keep,
Atlanta,Crates ATL,Atlanta,retail-gifts,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Crates%20ATL%20Atlanta,Keep,
Atlanta,Creative Juice,Atlanta,creative-media,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Creative%20Juice%20Atlanta,Keep,
Atlanta,CreativeSoul Photography,Atlanta,photography-videography,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=CreativeSoul%20Photography%20Atlanta,Keep,
Atlanta,D'juan's Bistro,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=D'juan's%20Bistro%20Atlanta,Keep,
Atlanta,D'Lor Salon & Spa,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=D'Lor%20Salon%20%26%20Spa%20Atlanta,Keep,
Atlanta,Desta Ethiopian Kitchen,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Desta%20Ethiopian%20Kitchen%20Atlanta,Keep,
Atlanta,E.F.F.E.C.T. Fitness,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=E.F.F.E.C.T.%20Fitness%20Atlanta,Keep,
Atlanta,Events by Mesita,Atlanta,events-entertainment,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Events%20by%20Mesita%20Atlanta,Keep,
Atlanta,Felton & Peel Wealth Management,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Felton%20%26%20Peel%20Wealth%20Management%20Atlanta,Keep,
Atlanta,For Keeps Books,Atlanta,books-publishing,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=For%20Keeps%20Books%20Atlanta,Keep,
Atlanta,FourStage Branding,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=FourStage%20Branding%20Atlanta,Keep,
Atlanta,Future Gallery,Atlanta,arts-culture,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Future%20Gallery%20Atlanta,Keep,
Atlanta,Gocha's Breakfast Bar,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Gocha's%20Breakfast%20Bar%20Atlanta,Keep,
Atlanta,God is Dope,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=God%20is%20Dope%20Atlanta,Keep,
Atlanta,Goodr,Atlanta,technology,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Goodr%20Atlanta,Keep,
Atlanta,Gymnetics Fitness,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Gymnetics%20Fitness%20Atlanta,Keep,
Atlanta,H.J. Russell & Company,Atlanta,construction-trades,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=H.J.%20Russell%20%26%20Company%20Atlanta,Keep,
Atlanta,Hammonds House Museum,Atlanta,arts-culture,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Hammonds%20House%20Museum%20Atlanta,Keep,
Atlanta,Happy Mango Baby Boutique,Atlanta,retail-gifts,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Happy%20Mango%20Baby%20Boutique%20Atlanta,Keep,
Atlanta,Hippin' Hops Brewery,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Hippin'%20Hops%20Brewery%20Atlanta,Keep,
Atlanta,Humphrey & Ballard Law,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Humphrey%20%26%20Ballard%20Law%20Atlanta,Keep,
Atlanta,I Am/I Can Strength and Conditioning Gym,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=I%20Am%2FI%20Can%20Strength%20and%20Conditioning%20Gym%20Atlanta,Keep,
Atlanta,Images USA,Atlanta,social-media-marketing,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Images%20USA%20Atlanta,Keep,
Atlanta,JB's Record Lounge,Atlanta,arts-culture,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=JB's%20Record%20Lounge%20Atlanta,Keep,
Atlanta,Johnson STEM Activity Center,Atlanta,education-tutoring,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Johnson%20STEM%20Activity%20Center%20Atlanta,Keep,
